season,yr,mnth,holiday,workingday,weathersit,temp,hum,windspeed,cnt,RF_pred_cnt
1,1,1,0,1,1,0.294167,0.64375,0.161071,4270,3631.098
1,0,12,0,0,1,0.274783,0.681304,0.155091,754,2391.66
2,1,4,0,1,1,0.4575,0.400833,0.34763299999999997,6233,5704.074
3,0,6,0,1,2,0.6825,0.658333,0.10758800000000002,4708,4773.138
2,0,6,0,1,2,0.628333,0.688333,0.20647100000000002,3767,4398.994
1,0,2,0,0,1,0.2825,0.537917,0.18657100000000001,1969,1651.298
4,0,12,0,1,3,0.41,0.970417,0.266175,705,2257.016
2,1,6,0,1,2,0.568333,0.777917,0.174746,5099,4764.498
2,0,5,0,1,2,0.549167,0.73,0.183454,4401,4346.58
2,1,5,0,1,1,0.533333,0.360417,0.23693699999999998,7030,6784.21
3,1,9,0,0,2,0.753333,0.638333,0.113187,6140,7544.928
1,0,12,0,1,2,0.423333,0.7575,0.047275,3068,2747.594
4,1,11,0,1,2,0.374167,0.685,0.082725,5634,4768.948
2,0,6,0,1,1,0.775833,0.6220829999999999,0.136817,4401,4302.418
1,0,3,0,1,1,0.19833299999999998,0.318333,0.225754,1685,1888.278
4,0,11,0,1,2,0.341667,0.575833,0.30536199999999997,3053,3455.4
2,0,5,0,1,1,0.660833,0.69625,0.15423299999999998,4978,4725.13
1,1,1,1,0,1,0.19,0.5225,0.23135799999999998,2298,2838.656
1,1,3,0,1,1,0.258333,0.456667,0.200875,3956,3269.834
4,1,11,0,0,1,0.245833,0.468333,0.1505,2424,4364.528
1,1,2,0,1,1,0.313333,0.526667,0.17849600000000002,4151,3848.428
3,0,7,0,1,1,0.7225,0.39625,0.10260799999999999,5362,4985.482
3,0,7,0,0,1,0.7475,0.578333,0.183471,4881,4638.562
2,0,6,0,1,1,0.755,0.605,0.14055399999999998,4586,4422.91
4,0,9,0,1,1,0.564167,0.6475,0.206475,5202,4637.588
2,0,6,0,1,1,0.604167,0.507083,0.269283,4891,5028.392
2,0,5,0,0,2,0.520833,0.9225,0.13495,3409,2990.994
4,1,11,1,0,1,0.485,0.741667,0.173517,6269,6523.662
2,0,5,0,0,1,0.604167,0.749583,0.148008,4660,4646.384
2,1,5,0,0,2,0.5625,0.74,0.14987899999999998,6359,6356.59
2,0,3,0,1,2,0.3,0.646667,0.17288800000000001,1536,2082.296
4,0,10,0,0,1,0.31916700000000003,0.62375,0.176617,3331,3723.09
3,0,8,0,1,2,0.685,0.722917,0.139308,4153,4613.034
3,1,7,1,0,1,0.789167,0.53875,0.13495,7403,5693.048
3,1,8,0,1,2,0.765833,0.6425,0.215792,7175,6588.702
2,1,4,0,0,1,0.57,0.682917,0.283587,6624,6296.212
4,0,12,0,1,1,0.265833,0.58,0.240058,3322,3182.668
1,0,2,0,1,2,0.192174,0.829565,0.053212999999999996,1360,1282.426
1,1,1,0,1,2,0.218333,0.91125,0.11070799999999999,2432,2006.166
3,1,6,0,1,1,0.749167,0.4225,0.17165,6879,7480.324
2,1,5,0,1,2,0.581667,0.685833,0.296029,5728,6156.152
1,1,2,0,1,1,0.287826,0.594348,0.205717,3777,3832.27
3,0,7,0,1,1,0.779167,0.583333,0.178479,4390,4522.802
3,1,8,0,1,2,0.7025,0.615,0.07214580000000001,7582,7339.49
3,1,7,0,1,1,0.741667,0.694167,0.138683,6966,7092.368
2,0,5,0,1,1,0.5425,0.632917,0.12064200000000001,4182,4843.984
1,1,2,0,1,1,0.366667,0.490833,0.26803299999999997,4322,4478.02
3,0,8,0,1,1,0.723333,0.575417,0.14366700000000002,4694,4865.744
3,0,6,0,1,1,0.728333,0.497917,0.261821,5225,4977.962
2,1,6,0,0,1,0.631667,0.504167,0.166667,7702,7535.344
1,1,2,0,1,1,0.282609,0.622174,0.1538,3784,3722.782
4,1,9,0,1,1,0.55,0.57,0.236321,7538,7684.458
3,1,7,0,0,2,0.6675,0.7625,0.09392080000000001,7410,6093.178
2,1,6,0,1,1,0.5975,0.487083,0.284833,6998,7360.042
2,1,6,0,0,1,0.6025,0.49333299999999997,0.184087,7641,7657.47
1,1,2,0,0,3,0.224167,0.73125,0.289796,2169,2124.616
2,0,5,0,1,1,0.5325,0.58875,0.17600000000000002,4362,4738.838
2,0,5,0,1,2,0.530833,0.829583,0.10821300000000002,4575,4335.396
3,0,8,0,1,2,0.684167,0.771667,0.210833,3542,4181.522
4,0,10,0,1,1,0.494167,0.620833,0.134954,4765,4617.03
1,0,2,0,1,2,0.26,0.775417,0.264308,1526,1617.962
4,0,11,0,0,1,0.375833,0.681667,0.0684208,3068,3441.53
2,0,5,0,1,2,0.55,0.87,0.201492,3855,4006.362
2,1,4,0,1,1,0.403333,0.377083,0.300388,6460,5494.064
4,0,12,0,0,1,0.330833,0.775833,0.08395830000000001,3485,3603.406
4,1,10,0,1,1,0.4375,0.539167,0.235092,7282,6709.21
2,1,6,0,1,2,0.6533329999999999,0.833333,0.21454600000000001,4972,4782.062
1,0,3,0,0,1,0.384348,0.5273909999999999,0.270604,2417,2306.382
1,0,1,0,0,1,0.0965217,0.436522,0.2466,986,986.622
4,1,10,0,1,2,0.55,0.800417,0.124375,7359,6806.254
3,1,9,0,1,1,0.633333,0.6725,0.10386300000000001,8009,7730.6
4,1,10,0,1,1,0.514167,0.630833,0.18782100000000002,7691,7361.588
4,1,11,0,0,1,0.389167,0.645417,0.05784580000000001,6536,5644.112
3,0,7,0,1,1,0.776667,0.650417,0.1306,4541,4364.842
1,1,1,0,0,1,0.2825,0.31125,0.24005,3243,3726.24
4,0,10,0,0,1,0.506667,0.483333,0.258083,5217,4854.912
3,0,8,0,1,1,0.771667,0.550833,0.156717,4266,4552.234
3,1,8,0,1,1,0.719167,0.519167,0.141796,7605,7160.344
1,1,3,0,1,1,0.466667,0.489167,0.207713,5298,5381.838
2,0,4,0,1,2,0.6175,0.700833,0.32090799999999997,4058,3876.002
4,1,10,0,1,2,0.561667,0.7075,0.296037,5875,7275.748
2,1,5,0,1,1,0.6275,0.735417,0.162938,6296,6556.494
2,1,4,0,0,2,0.37666700000000003,0.489583,0.129975,4220,5160.178
4,0,10,0,1,3,0.5417390000000001,0.895217,0.243339,2424,2947.064
4,0,12,0,0,1,0.238333,0.58625,0.16977899999999999,2431,3046.084
2,1,3,0,0,2,0.424167,0.738333,0.25061700000000003,6235,4447.072
4,0,11,0,1,1,0.325,0.613333,0.271158,3613,3664.284
1,1,1,0,0,1,0.166667,0.419167,0.251258,2311,2724.79
3,0,7,0,1,1,0.663333,0.59125,0.182833,5538,5078.972
2,0,4,0,0,2,0.3425,0.8775,0.13308299999999998,2455,2154.496
2,1,3,0,1,2,0.37,0.580833,0.138067,5459,4852.326
3,0,6,0,1,1,0.744167,0.634167,0.144283,4648,4345.074
2,0,5,0,1,2,0.414167,0.737083,0.328996,2633,2396.906
2,0,6,0,1,1,0.649167,0.735833,0.143029,4844,4658.042
4,1,10,0,1,2,0.520833,0.649167,0.09080419999999999,6778,7287.044
2,1,5,0,1,1,0.564167,0.797083,0.138058,6169,5907.58
2,0,4,0,1,2,0.4125,0.819167,0.25061700000000003,2162,2612.078
3,0,7,0,1,1,0.838333,0.5425,0.17413800000000001,3846,3787.466
2,1,3,0,1,1,0.484167,0.48125,0.291671,5698,5848.166
3,1,6,0,1,1,0.7158329999999999,0.504167,0.300383,6779,7223.81
2,1,5,0,1,1,0.593333,0.52,0.229475,7384,7113.808
1,1,1,1,0,1,0.273043,0.381304,0.329665,1951,3164.73
1,0,1,0,1,1,0.22695700000000002,0.436957,0.1869,1600,1719.2
4,1,11,0,1,1,0.31916700000000003,0.494167,0.236325,5259,5262.24
4,0,11,0,1,1,0.4,0.758333,0.06219580000000001,4109,3958.234
4,1,10,0,0,1,0.464167,0.51,0.166054,6824,7294.498
1,0,12,0,0,1,0.3025,0.5425,0.190304,1011,2209.67
3,0,9,0,1,2,0.549167,0.69,0.15174200000000002,4539,4416.964
3,0,8,0,1,1,0.640833,0.455417,0.146763,5895,5053.436
1,1,1,0,1,1,0.15,0.44125,0.365671,2236,2786.802
2,1,4,0,1,1,0.4425,0.408333,0.155471,6398,6223.59
4,0,12,0,1,2,0.3175,0.66375,0.06095830000000001,3740,3562.268
3,1,9,0,1,1,0.736667,0.74125,0.187808,7112,6756.15
4,0,11,0,1,3,0.456667,0.93,0.136829,1817,2637.462
2,0,4,0,1,1,0.595,0.614167,0.241925,3944,4113.326
2,1,4,1,0,1,0.664167,0.561667,0.284829,6370,6677.35
2,0,4,0,1,2,0.335833,0.83625,0.226992,1471,2102.364
3,1,8,0,1,1,0.764167,0.5875,0.168533,7350,6647.932
3,1,7,0,1,1,0.77,0.600417,0.165429,6591,6459.73
3,0,9,0,0,1,0.709167,0.742083,0.206467,4940,4407.676
4,0,10,0,0,3,0.25416700000000003,0.8825,0.351371,627,2343.162
4,0,9,0,0,2,0.634167,0.845,0.0503792,5010,5002.028
1,1,2,0,1,2,0.4075,0.7375,0.237567,3487,3628.53
3,0,8,0,1,2,0.731667,0.6575,0.13558299999999998,3574,4610.088
1,0,3,0,1,2,0.261667,0.610417,0.203346,1944,1917.634
4,0,12,0,1,2,0.4225,0.634167,0.268042,3709,3660.652
3,0,8,0,1,1,0.636667,0.554583,0.159825,4634,5024.52
4,1,10,0,1,1,0.5875,0.63625,0.07277919999999999,7693,7562.284
2,0,5,0,1,1,0.681667,0.65375,0.240679,4679,4601.182
1,1,3,0,1,2,0.353333,0.657083,0.144904,3194,3846.602
4,0,12,0,0,1,0.299167,0.612917,0.0957833,3614,3617.474
1,0,1,0,1,1,0.150833,0.482917,0.22326700000000002,1321,1435.602
4,1,12,0,1,1,0.4525,0.7675,0.08272080000000001,6234,5896.716
3,1,9,0,0,2,0.696667,0.815,0.06407080000000001,5810,6288.284
1,1,1,0,1,2,0.2175,0.45,0.20275,3163,2767.146
4,0,10,0,1,1,0.5341670000000001,0.579583,0.175379,4570,4841.002
4,1,10,0,1,2,0.446667,0.761667,0.1903,6392,5276.378
4,0,11,0,0,2,0.463333,0.6845829999999999,0.18595,3520,3540.18
2,1,5,0,0,1,0.69,0.697083,0.215171,6591,6500.726
1,0,1,0,1,1,0.172727,0.599545,0.304627,1162,1449.274
2,1,4,0,1,1,0.433913,0.5043479999999999,0.312139,5936,5981.462
3,0,7,0,1,1,0.848333,0.580417,0.1331,3387,3685.634
2,1,6,0,1,1,0.7825,0.592083,0.11381199999999998,6211,6367.936
3,1,8,0,1,1,0.703333,0.730417,0.128733,6917,6649.004
